Original_Article,Human_Summary,LongT5_Summary
"On March 19, 2020, PM Modi urged citizens to observe a ‘Janta Curfew’ on March 22 as a voluntary measure to curb the spread of COVID-19. It was a pre-lockdown strategy to test public preparedness. Citizens clapped and rang bells in the evening to thank frontline workers.","India’s first collective COVID-19 response was the ‘Janta Curfew’, preparing people for larger lockdowns.",PM Modi urged citizens to observe a ‘Janta Curfew’ on
"Through your esteem daily, I would like to draw attention on Indirect collection of money in the name of donation from common citizens by Unions and Associations. On the evening of 26 August 2017, I went to the Market at Naharlagun to buy some NoteBooks. To my surprise, a notebook with MRP 70 /- was being sold at Rs 70 whereas I thought it would be sold at around 60-65/- rupees. When I enquired why it was being charged at MRP rate, the Shopkeeper explained that there are more Unions and Associations than actual population. We have to pay the Unions and Associations. So, thats why we are charging at printed rate. Otherwise, I would have sold this note book at less than Rs 70″. He further claimed that, when somebody is selected from Arunachal at National or International level, then they collect donation from market although the selected one is sponsored by the Govt. This is illegal and indirect way of collecting donation from common citizens by Unions and Associations. I refuse to pay a single penny to these Unions and Associations. I studied outside the state and at every shop, they charged less than printed rate. Some items like Pickles with MRP 110/- is sold out at around 70-80/- And Note book with MRP 110 was sold to us at 75-90/-. Not only this, but almost all the Items in the Market were charged lesser amount from the printed MRP. But in our state, Cold Drinks are being charged above the MRP. The shopkeepers are openly charging extra above the Printed rate. So i do urge State Govt to look into this matter and take necessary actions. And dear Citizens of Arunachal, open your eyes and say no to such kind of indirect way of collecting donation from us.","The writer highlights the issue of unions and associations in Arunachal Pradesh indirectly collecting money from citizens under the guise of donations. During a visit to the market, they observed goods being sold at their maximum retail price (MRP), with the shopkeeper explaining that extra charges were to appease numerous unions and associations. Additionally, donations were allegedly collected even when individuals were sponsored by the government for national or international events. The writer refuses to pay such fees and notes discrepancies between prices in Arunachal Pradesh and those outside the state. They call upon the state government to address the issue and urge citizens to resist such indirect donation practices.","Through your esteem daily, I would like to draw attention on Indirect collection of money in the"
"""The small boats, originating from Houthi-controlled areas in Yemen, fired crew-served and small arms weapons at the MAERSK HANGZHOU, getting to within 20 meters of the vessel, and attempted to board the vessel,"" according to Central Command. Firefight in the Red Sea: How it unfolded Houthi boats, armed with crew-served weapons, approach within 20 meters of the Maersk ship. U.S. helicopters issued verbal warnings, but the Houthi boats open fired, leading to a fierce exchange. While ""in the process of issuing verbal calls to the small boats, the small boats fired upon the U.S. helicopters with crew-served weapons and small arms,"" says Central Command. Service members aboard the Navy helicopters return fire, sinking three of the four small boats and killing the crews. The fourth boat flees the area. The clash marks the 23rd Houthi attack in six weeks, raising concerns for companies transiting the Red Sea. Maersk pauses transits for 48 hours, assessing security, as incidents prompt some to reroute around the Cape of Good Hope. The U.S. establishes Operation Prosperity Guardian, a naval task force ensuring safe passage for commercial ships. Houthis, conflict, and global ramifications Houthi attacks escalate amid conflicts in the Middle East, with implications for global shipping routes. The incident sheds light on the intersection of personal beliefs, industry fallout, and the power of social media in today's interconnected world. The U.S. military has not struck directly at the Houthis in Yemen, wary of an escalation that could cause the war in Gaza to further inflame the Middle E","In the Red Sea, Houthi-controlled boats fired upon the Maersk Hangzhou, a commercial ship, approaching within 20 meters and attempting to board the vessel. U.S. helicopters issued verbal warnings, but the Houthi boats opened fire, leading to a fierce exchange. In response, U.S. service members aboard the helicopters returned fire, sinking three of the four small boats and killing their crews. The fourth boat fled the area. This incident marked the 23rd Houthi attack in six weeks, raising concerns for companies transiting the Red Sea. Maersk paused transits for 48 hours to assess security, and the U.S. established Operation Prosperity Guardian to ensure safe passage for commercial ships.","The small boats, originating from Houthi-controlled areas in Yemen, fired crew-serv"
"India is expected to ask Russia to shift production of some critically needed Russian armament spares to this country during Defence Minister George Fernandes’ visit to Russia beginning from tomorrow. Heading a nine-member high level delegation, Mr Fernandes will hold extensive talks with his Russian counterpart Sergi Ivanov.","During Defence Minister George Fernandes' upcoming visit to Russia, India is anticipated to request the relocation of production for certain critical Russian armament spare parts to India. Fernandes, leading a high-level delegation of nine members, will engage in comprehensive discussions with his Russian counterpart, Sergei Ivanov. The objective is to strengthen bilateral defense cooperation, potentially involving technology transfer and local production in India. This strategic move aims to enhance India's defense preparedness and reduce dependency on imports, reflecting a broader effort to bolster indigenous defense manufacturing capabilities through international partnerships.",India is expected to ask Russia to shift production of some critically needed Russian armament spares to
"Voters in Doda, especially those belonging to fairer sex participated enthusiastically in the electoral process on Monday. Despite several blasts and incidents of firing by militants in the run up to the elections in the hilly district of Doda, voters especially those belonging to the fairer sex participated enthusiastically in the electoral process. In Doda town where special polling stations had been set up for women, a large number of them turned out to exercise their franchise and told reporters that they are voting to ensure peace in the state and development in their district. However, a large number of voters boycotted polls at Shreekhi polling station in Bhaderwah town of Doda district. A number of aged people enthusiastically cast their ballot in the Lok Sabha constituency. Reports from Udhampur district said a 95-year blind man Faqir Chand was assisted by polling staff in exercising his franchise at a polling station in Reasi town. 107-year old Sant Ram of village Tote-Sare in Reasi tehsil of Udhampur district was one of the oldest person of the area who exercise his right of franchise today. His grandson escorted him to the polling station. Similarly, a 105-year voter, Abdu, assisted by his relatives cast his vote at Trangi polling station in Kishtwar town of Doda district. Another Abdul Khalid, 125-year old, cast his vote at polling station in Banihal. He was also escorted to the polling station by his grandchildren to enable him to exercise his right of franchise. Reports from Ladakh constituency said that one 90-year old, Sonam Morup, cast his vote at Khaltsi polling station in Leh assembly segment. Presiding officer of Zangsti polling station in Leh, S K Sharma said there was slight confusion among voters about using the newly inroduced voting machines. Some voters at this polling station also complained about polling staff taking too much time in verifying voters. A social activist in Leh, Rinchen Wangchuk, said he had to wait for hours before he could cast his vote at government girls high school since morning.","In the Doda district, voters, particularly women, showed remarkable enthusiasm in participating in the electoral process despite security challenges, including militant activity. Special polling stations for women saw a high turnout, with many expressing their desire for peace and development. However, there was a boycott at the Shreekhi polling station in Bhaderwah. In Udhampur, elderly voters, including a 95-year-old blind man and a 107-year-old man, cast their votes with assistance from polling staff. Other elderly voters, like a 125-year-old man, also participated. In Leh, a 90-year-old voter cast his ballot, although there were complaints about delays at some stations.",Despite several blasts and incidents of firing by militants in the run up to the elections in
"ITANAGAR, May 22: Ruling Congress continues to maintain lead in elections to three-tier system of Panchayat Raj in Arunachal Pradesh. According to reports received from various district headquarters today, Congress captured majority of Zilla Parishad seats in West Siang, Changlang, Tirap and Lower Dibang Valley districts. The party bagged all the declared ZP seats so far in West Siang district excepting the 2-Aalo East Upper seat which has been won by PPA candidate. Most of the ASMs and GPMs seats at Aalo East, West, Monigong/Pidi and Liromoba were also captured by the INC candidates. The detailed results of other parts of the district are still awaited. In Tirap, Congress bagged four ZP seats out of seven and rests were won by Independent candidates. The Anchal Block for Lazu and Khela-Lamsa were reserved for women candidates. In the ASM election also the Independent candidates gave the ruling Congress candidates a run for their money. However, INC candidates won most of the Anchal Samity and Gram Panchayat seats. A giant screen was put up outside the counting center for the live-viewing of the counting process. In Longding INC swept the poll. Congress bagged four ZP seats out of six while BJP and PPA won one seat each in Lower Dibang Valley. Congress captured 1-Hunli, 2-Roing, 4-Iduli and 6-Dambuk seats while PPA and BJP bagged the 5-Koronu and 3-Meka seats respectively. Out of 31 ASM seats in Hunli, Roing, Meka, Iduli and Koronu blocks INC won 23, Independent -5, PPA - 2 and BJP - 1. Congress also bagged 21 GP seats out of the election held for 43 seats in those five blocks. Independent won 11, PPA 6 and BJP 5. Lottery was drawn to decide the winner after election tied in two Gram Segments under Jia-I. The detailed result of Dambuk Anchal Samiti Constituency is still awaited. The Indian National Congress captured 10 seats out of total 11 Zilla Parishad segments in Changlang district. Independent candidate won the remaining one seat. No post-poll violence has been reported from any place of the entire district. The District Administration made elaborate security arrangements during entire election period to prevent any untoward incident. Independent candidates bagged two ZP seats in Dibang Valley out of the total three while Congress won Anelih-Arzoo seat. Congress bagged 13 Anchal Samity seats out of total 21 and Independent candidates won eight. It also bagged 52 GP seats out of 72. Sixteen seats went to independent candidates and one seat to BJP. Polling was not held in two GP seats as no candidate filed nomination papers for those seats. Geku ZP seat in Upper Siang district went to independent candidate. According to a report, Jiten Ezing defeated his nearest rival Opek Taku of Indian National Congress by a margin of 23 votes in a triangular contest.","The Indian National Congress (INC) retained its lead in the Panchayat Raj elections across four Arunachal Pradesh districts - West Siang, Changlang, Tirap, and Lower Dibang Valley. INC captured the majority of Zilla Parishad (ZP) seats in all four districts except for scattered victories by Independent candidates and other parties like PPA and BJP. Detailed results for some areas are still pending. No post-poll violence was reported in any of the districts.",The party bagged all the declared ZP seats so far in West Siang district excepting the
"New Delhi: Expressing its concerns over issues like trolling, character assassination, spreading lies and fake news, the Supreme Court on Tuesday emphasised that social media should be regulated. The observation by a bench headed by Justice Deepak Gupta came while asking the Centre to file an affidavit within three weeks detailing the timeline when the draft rules framed for regulating social media could be finalised. During the hearing, the top court made a critical comment on the misuse of social media and said: “Why should someone be able to troll me and spread lies about my character online.” The SC asked what remedy is there for a person whose character has been assassinated through social media. The top court said that can a person file defamation case for being defamed in the social media. The top court recommended the government to look into these issues. Suggesting strict guidelines to regulate the social media, the top court said that statutory guidelines should balance online privacy, state sovereignty and the reputation of an individual. The top court said that the Union government should frame guidelines for the intermediaries — Facebook and WhatsApp — to provide information for offending posts keeping in mind that privacy of the individual should not be invaded. Observing the misuse of social media, Justice Deepak Gupta said: “It is dangerous how some of these technologies work. With a little help, I could have purchased an AK 47 on the Dark Web in just five minutes.” Justice Gupta expressed that earlier he was happy in his blissful ignorance of the social media, but now he is worried and said: “I am thinking to leave my smart phone and get back to basic phone.” Senior Advocate Kapil Sibal, appearing for Whatsapp said that it is a wise decision. Solicitor General Tushar Mehta said some of them have already started this practice. (IANS)","Expressing its concerns over issues like trolling, character assassination, spreading lies and fake news, the Supreme Court on Tuesday emphasised that social media should be regulated. The observation by a bench headed by Justice Deepak Gupta came while asking the Centre to file an affidavit within three weeks detailing the timeline when the draft rules framed for regulating social media could be finalised. During the hearing, the top court made a critical comment on the misuse of social media and said: “Why should someone be able to troll me and spread lies about my character online.” The SC asked what remedy is there for a person whose character has been assassinated through social media. The top court said that can a person file defamation case for being defamed in the social media. The top court recommended the government to look into these issues. Suggesting strict guidelines to regulate the social media, the top court said that statutory guidelines should balance online privacy, state sovereignty and the reputation of an individual.",The Supreme Court on Tuesday emphasised that social media should be regulated. The observation by 
"NEW DELHI: India''s inexorable march toward the most-populous-nation slot with a 21% share of the world''s annual population increase, is being aided by inadequate availability of contraception. Projecting a disaster scenario on the population front, the Economic Survey for 2003-2004 points to a disquieting linkage between the runaway population growth and the country''s economic health. With a 16% share of the world population, India is slated to attain the ""dubious distinction"" by 2050. And this ticking population bomb, the survey warns, calls for ""appropriate and effective"" steps. The country falls behind some other South Asian countries in terms of socio-demographic parameters like infant mortality rate and life expectancy. The good news is that a number of states across the regions â€” Kerala, Tamil Nadu, Gujarat, Maharashtra, Andhra Pradesh, Karnataka, Orissa, Punjab and West Bengal â€” have achieved the population control targets. While Assam, Haryana and Madhya Pradesh have shown signs of improvement, Bihar, Rajasthan and Uttar Pradesh constitute the zone of extreme despair. On the health front, the danger signals blip from the alarming growth of HIV/AIDS. With an estimated 4.58 million people living with the infection, India currently accounts for 10% of the global HIV population. If the Survey projection is any indication, the health of India is a cause for acute concern. ""Morbidity and mortality due to cardio-vascular diseases, mental disorders, cancers and trauma have been rising with increases in the number of senior citizens with higher prevalence of non-communicable diseases,"" it says. Keeping in view the increasing burden of of illness, the Survey stresses the need for innovative health insurance schemes. A yearly premium of Rs 365 makes an individual entitled to reimbursement of medical expenses upto Rs 30,000 towards hospitalisation, and a cover for death due to accidents upto Rs 25,000. Going by the response to an insurance scheme launched by the insurance companies last year, more such schemes seem to be in the offing.","India's Economic Survey for 2003-2004 highlights the country's population growth, projecting a 21% share of the world's annual increase. With 16% of the global population, India is expected to become the most populous nation by 2050. The survey emphasizes the need for ""appropriate and effective"" measures to control population growth. While some states have achieved population control targets, others, including Bihar, Rajasthan, and Uttar Pradesh, face challenges. The survey also raises concerns about the increasing burden of non-communicable diseases, emphasizing the need for innovative health insurance schemes.",India''s inexorable march toward the most-populous-nation slot
"Poor labourers from different parts of India, earning their livelihood in Kashmir Valley, have once again come on the radar of the terrorists, growing restless with increasing economic activity in the region. Selective killing of these ‘soft targets’, ahead of the bifurcation of the State into two Union territories on October 31, has also unnerved the security establishment in the region. While executing these strikes the terrorists zeroed in on their targets carefully and with a sinister design to provoke them to run away from Kashmir valley, bringing economic activity on hold in rural areas of Kashmir valley. Meanwhile, toll in the kulgam terror incident rose to six as one of the critically injured labourer succumbed to his injuries on Wednesday. The bodies of five other labourers hailing from Murshidabad were sent home from Srinagar airport after completing necessary medico-legal formalities . So far, no terror outfit has claimed responsibility of the attack. Official sources,however, claimed it could be the handiwork of Hizbul Mujahideen terror outfit as their cadre was actively involved in the region. Local police officers claimed, ""since majority of work force, which hails from Uttar Pradesh, Bihar, West Bengal, Chhatisgarh, Madhya Pradesh and Rajasthan, have been visiting Kashmir valley for past several years they never felt unsafe and ventured inside the interior areas to earn their bread and butter"". On the other hand, careful study of soft targets, killed by terrorists since October 14, clearly indicate the terrorists are picking non-locals deliberately to trigger second round of migration. Thousands of daily wage labourers had earlier fled different parts of Kashmir valley after the revocation of J&K's special status under Article 370 in the first week of August 2019.Large number of them ran away without even collecting their wages from their employers to ensure their safety. With gradual improvement in the prevailing security situation as these labourers started returning to kashmir valley, terrorists became restive and searched for soft targets. First, the terrorists targeted apple growers but when hue and cry was raised in Kashmir valley these terrorists started targeting non-locals and truckers ferrying apple boxes. The change in strategy was adopted to ensure they do not invite wrath of the local populace and their image was not dented. In all these incidents, the trucks were also set on fire to spread panic among them. Due to complete communication lock down, the total number of anti militancy operations had gone down since August 5 but in the last three weeks terrorists have been striking at will and even exposing the tall claims of the security forces related to protecting apple growers and others engaged in packaging of apple crop. The cycle of violence, which started with the killing of a Rajasthan based truck driver Sharief Khan on October 14,is bound to put pressure on these labourers to return home safely than falling in the hands of these terrorists as 'sitting ducks' Senior security officers claimed, the terrorists are deliberately choosing their targets to scare away ‘outsiders’ and provoke the troops. On the other hand, kashmir police Wednesday identified the terrorist responsible for killing truck driver Narayan Dutt, from Katra area in Resi district as Aijaz Malik of Hizbul Mujahideen. According to police, Aijaz was active since 2018. This establishes complicity of Hizbul Mujahideen in the terror crime, police said.","Terrorists in Kashmir are selectively targeting non-local laborers to provoke their migration, disrupting economic activity in the region. Recent attacks, including one in Kulgam resulting in six deaths, exhibit a deliberate focus on non-locals. The terrorists, potentially linked to Hizbul Mujahideen, aim to induce a second round of migration, having previously targeted apple growers and truckers. The tactic involves burning trucks to instill fear. Despite a communication lockdown since August 5, anti-militancy operations have decreased, allowing terrorists to strike at will, challenging security force claims. The violence puts pressure on laborers to leave for safety and aims to create an atmosphere of intimidation.","The terrorists have targeted poor labourers from different parts of India, earning their livelihood in Kashmir Valley"
"North Korea said it was shutting a liaison office it shares with South Korea from Tuesday and severing communication over a leaders’ hot line, putting pressure on Seoul to break with Washington’s effort to isolate the country. North Korea’s official Korean Central News Agency said the state was taking the move because South Korean authorities had “connived” to carry out “hostile acts” against the country. The statement appeared to be referring to leaflets critical of leader Kim Jong Un being floated by balloons across the border by anti-Pyongyang activists in South Korea. “This measure is the first step of the determination to completely shut down all contact means with South Korea and get rid of unnecessary things,” KCNA said, adding that North Korean officials Kim Yong Chol and Kim Jong Un’s sister Kim Yo Jong gave the instruction to “completely cut off all the communication and liaison lines” with the South. The move could end up stoking tensions between South Korea and the Trump administration, which have long differed over how to engage with the Kim regime.","North Korea announced the closure of its liaison office with South Korea and the termination of communication via a leaders' hotline, citing Seoul's alleged complicity in hostile actions. The decision follows anti-Pyongyang leaflets sent from South Korea, prompting North Korea to sever contact as a first step towards complete isolation. The move signals escalating tensions and challenges efforts to engage with North Korea, potentially straining relations between South Korea and the Trump administration, which have previously diverged on approaches to the Kim Jong Un regime.",North Korea said it was shutting a liaison office it shares with South Korea from Tuesday and 
